requirement_id,finding_ids,evidence,risk,requirement,validation,gate
REQ-GOV-001,VM551-D035,Wrong standard/web authority,Audit acceptance cannot be reproduced,Exact draft.4 authority and local-only evidence record,Checksum replay; conclusion adjudication; no web authority,Audit acceptance gate
REQ-A-001,VM551-D002,adaptive-placement.js,Bayesian/probability wording overclaims the model,Name current system adaptive weighted scoring everywhere,Static/runtime terminology scan and owner copy review,Gate A
REQ-A-002,VM551-D003|VM551-D007|VM551-D023,"26,891 paths + runtime trace; downstream-compatibility-contract.md; result-field-consumer-map.csv",Numeric shares/fabricated defaults imply calibrated certainty and an unbounded removal could break ranking replay persistence dossier Matrix recommendation adjacent deck-link and Maze consumers,"Remove public numeric confidence, probability, correctness, and strength claims; preserve internal scores, softmax shares, gaps, ranking/stopping inputs, existing serialized field names/shapes, cache/profile/saved/legacy/OAuth/dossier/recommendation/deck-link/adjacent/Maze consumers, authored Matrix values, and the separate placement-derived mana-alignment payload; keep legacy missing confidence unknown; introduce only additive bounded public result states with backward-compatible normalization; prohibit implementation planning until the complete consumer map is independently reviewed and no UNRESOLVED-BLOCKER enters Gate A",Compatibility validator; field-shape and writer/reader reconciliation; cache/profile/OAuth round trips; saved legacy reading; primary dossier; alternative/adjacent view; recommendation and deck-link rendering; authored Matrix; placement-result mana alignment; Maze handoff; return-to-dossier; legacy missing-confidence unknown; no fabricated numeric fallback; no public numeric confidence output,Gate A
REQ-A-003,VM551-D005,333 ties + incomplete/contradictory runtime states,Hidden tie defaults and unsupported completion fabricate a primary,"Preserve unknown, mixed, contradictory, insufficient, tied, close, invalid, and incomplete result states using existing response/state evidence; do not refit the questionnaire in Gate A","Decision table, exact/near tie, incomplete, contradictory, invalid, and absent-state scenarios",Gate A
REQ-A-004,VM551-D006|VM551-D007,numeric ranks 2/3,Weak runner-up is mislabeled meaningful adjacency,Call numeric runners-up close alternatives or omit them; reserve adjacency for reviewed relationship + evidence,"Weak-rank-two, cross-family, guild/college, Colorless/WUBRG tests",Gate A
REQ-A-005,VM551-D017|VM551-D020,claim register and traces,Copy states motivation/deck/table claims beyond answers,"Use only entailed, qualified observation language in first pass",Trace answer -> claim for every Gate A surface,Gate A
REQ-B1-001,VM551-D008|VM551-D038,question quality matrix + 0 uncertainty answers,Current instrument tests overlapping/abstract constructs and forces directional evidence,"Select the smallest evidence-derived, Commander-relevant, single-construct pilot question slice with explicit unknown/mixed/no-direction handling",Cognitive review plus 113/356 inclusion/exclusion manifest and uncertainty-state scenarios,Gate B1
REQ-B1-002,VM551-D009|VM551-D010,answer matrix,Effects cannot be stably traced or reviewed,Stable question/answer/signal IDs and direct/inferred/speculative provenance for every pilot effect,Schema/reference/hash validation,Gate B1
REQ-B1-003,VM551-D001|VM551-D004|VM551-D011,"builder + 2,901 below-min paths",Scoring can ignore identity contracts,One reviewed scoring authority; executable minimum-hit and false-positive decisions; explicit insufficient state,Exhaustive all-37 minimum/guardrail tests,Gate B1
REQ-B1-004,VM551-D039,11 repeated constructs,Repeated observations can masquerade as independent evidence,Controlled dependency groups and contribution caps/disclosure,"Duplicate-construct, order, stopping, and confidence tests",Gate B1
REQ-B1-005,VM551-D036,"44,005 matched comparisons",Small answer changes cause unstable primary flips,Predeclare pilot perturbation thresholds and downgrade unstable results,All-37/family sensitivity report and scenario trace,Gate B1
REQ-B1-006,VM551-D040,distinctiveness matrix + 37 profiles,Reachability does not prove semantic separation,Pilot high-risk family contrasts and preserve close/unknown outcomes,Same-color five pairs; shard/wedge; every four-color; Colorless; WUBRG confusion matrix,Gate B1
REQ-B2-001,VM551-D012|VM551-D013|VM551-D029|VM551-D032|VM551-D037,schema/dead branches/manifests,Coverage and reproducibility remain uneven,"Expand schema, remove dead controls/branches, exact input manifests, and source/generated reconciliation",Clean-checkout deterministic validation,Gate B2
REQ-C-001,VM551-D018|VM551-D019|VM551-D021|VM551-D022|VM551-D031,copy/recommendation corpus,Interpretation and recommendation quality can mislead,"Claim-specific copy and evidence-typed, unresolved-safe recommendations",All-37 copy/recommendation review; local legality status,Gate C
REQ-C-002,VM551-D024|VM551-D025|VM551-D026|VM551-D027|VM551-D028,runtime rendering observations,State/route/accessibility presentation reduces trust,"Repair state disclosure, deep-link semantics, headings, and mobile controls",Desktop/mobile/a11y/state matrix,Gate C
REQ-D-001,VM551-D030|VM551-D033|VM551-D034,test baseline limitations,Long-term regression and calibration remain incomplete,"Self-contained exhaustive automation, reviewed visual baselines, empirical calibration, and later certification tooling",Independent exact-SHA rerun and separately authorized certification,Gate D
